Site	Rank_a	Rank_b	score
1	1	249	3.2111873624239284
816	2	1002	12.948336138806162
4765	3	1506	19.461349216625663
1150	4	3140	40.60598213129613
3289	5	3	0.025896672277612325
1169	6	18	0.15538003366567396
1622	7	2353	30.376796581639258
3449	8	2045	26.375760714748154
1019	9	2602	33.57503560792438
7179	10	5	0.06474168069403081
5886	11	16	0.06474168069403081
4552	12	5028	64.94885407225172
4324	13	2867	36.95455134015279
7145	14	994	12.689369416030042
1912	15	4690	60.53347144891882
7148	16	35	0.2460183866373171
1147	17	2480	31.891751909879577
2619	18	21	0.03884500841641849
6269	19	10	0.11653502524925548
3823	20	2368	30.402693253916873
6743	21	6	0.19422504208209246
7388	22	8	0.18127670594328626
7716	23	14	0.11653502524925548
4879	24	1957	25.029133756312316
1355	25	2340	29.97539816133627
7460	26	2927	37.56312313867668
1115	27	2364	30.260261556390006
931	28	2816	36.09996115499158
3066	29	1	0.36255341188657253
1085	30	3077	39.45358021494238
3387	31	19	0.15538003366567396
915	32	6092	78.46691700116534
6561	33	133	1.2948336138806165
4892	34	107	0.9452285381328499
504	35	2585	33.018257153955716
3813	36	567	6.875566489706072
1031	37	189	1.9681470930985367
4355	38	2699	34.4555224653632
4082	39	6765	87.09050886961025
2622	40	1257	15.758125080927101
6373	41	1460	18.373688980965948
6764	42	1732	21.882688074582415
4881	43	2318	29.45746471578402
7057	44	9	0.4531917648582158
6187	45	1867	23.59186844490483
1107	46	1658	20.872717855755536
5018	47	49	0.025896672277612325
1088	48	1162	14.424446458630067
162	49	5437	69.7656351158876
4147	50	253	2.6285122361776514
4985	51	1916	24.148646898873494
4967	52	4	0.6215201346626958
4912	53	5132	65.7645992489965
3989	54	663	7.885536708532953
1992	55	20	0.4531917648582158
1609	56	833	10.06085717985239
1922	57	1607	20.069921015149554
4939	58	6742	86.54667875178039
6553	59	15	0.5697267901074712
2670	60	160	1.2948336138806165
7146	61	279	2.8227372782597437
132	62	1717	21.4294963097242
2565	63	34	0.3755017480253787
2132	64	479	5.373559497604558
3131	65	844	10.08675385213
3409	66	17	0.634468470801502
941	67	371	3.9362941861970735
5582	68	3482	44.20561957788424
3207	69	56	0.16832836980448013
2292	70	3362	42.62592256894989
3287	71	59	0.15538003366567396
1676	72	1400	17.195390392334588
1796	73	3261	41.27929561051405
4843	74	4024	51.14592774828435
5519	75	1638	20.23824938495403
4806	76	4771	60.79243817169494
3250	77	638	7.264016573870258
7626	78	4431	56.364107212223225
6450	79	190	1.437265311407484
5550	80	4680	59.562346238508354
3146	81	383	3.9103975139194613
873	82	5050	64.32733393758902
1269	83	32	0.6603651430791143
690	84	81	0.03884500841641849
3753	85	3762	47.61103198239026
689	86	1767	21.766153049333163
2550	87	5374	68.45785316586819
1170	88	203	1.4890586559627088
7062	89	28	0.7898485044671759
4310	90	3066	38.53424834908714
5733	91	4881	62.022530104881525
6090	92	2963	37.174673054512496
5663	93	109	0.2071733782208986
5660	94	989	11.588760844231516
2063	95	2332	28.965427942509386
3998	96	2206	27.320989252881006
4002	97	2282	28.29211446329147
2059	98	4432	56.11808882558591
6287	99	3615	45.52634986404247
4193	100	1944	23.876731839958566
149	101	2915	36.436617894600545
5532	102	2028	24.93849540334067
4015	103	2630	32.72044542276317
7245	104	5245	66.56739608960248
6288	105	1869	22.840864948854072
2377	106	6672	85.01877508740127
6709	107	2824	35.18062928913635
2829	108	2776	34.54616081833484
894	109	5619	71.34533212482197
137	110	2388	29.496309724200444
4582	111	2843	35.37485433121844
3885	112	2271	27.955457723682507
2196	113	653	6.992101514955327
1017	114	4862	61.47869998705167
4426	115	2565	31.723423540075103
1853	116	138	0.2848633950537356
1251	117	5548	70.32241356985627
3829	118	1424	16.91052699728085
80	119	3797	47.62398031852907
4817	120	2726	33.74336397772886
6164	121	2939	36.48841123915577
7527	122	4942	62.41098018904571
3646	123	2580	31.81406189304674
1045	124	4079	51.21066942897837
6178	125	425	3.884500841641849
1661	126	3306	41.1757089214036
1052	127	2069	25.145668781561568
1038	128	6274	79.58047390910268
1857	129	673	7.043894859510553
3857	130	933	10.397513919461348
4551	131	437	3.962190858474686
3049	132	1268	14.709309853683802
2493	133	2195	26.69946911821831
